set_name,card_name,ungraded_price
Prices for Pokemon Paldean Fates Pokemon Cards,Nemona [Reverse Holo] #82,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student #85,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Mini Tin: Flamigo,$31.75
Prices for Pokemon Paldean Fates Pokemon Cards,Dedenne [Reverse Holo] #36,$0.14
Prices for Pokemon Paldean Fates Pokemon Cards,Flittle #41,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Mankey #45,$0.06
Prices for Pokemon Paldean Fates Pokemon Cards,Phanpy [Reverse Holo] #48,$0.68
Prices for Pokemon Paldean Fates Pokemon Cards,Lechonk #71,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Rare Candy [Reverse Holo] #89,$0.33
Prices for Pokemon Paldean Fates Pokemon Cards,Swoobat #33,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Tandemaus [Reverse Holo] #73,$0.40
Prices for Pokemon Paldean Fates Pokemon Cards,Numel #11,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Electric Generator [Reverse Holo] #79,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Iono [Reverse Holo] #80,$1.15
Prices for Pokemon Paldean Fates Pokemon Cards,Exeggcute #23,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Natu [Reverse Holo] #25,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Clobbopus [Reverse Holo] #51,$0.47
Prices for Pokemon Paldean Fates Pokemon Cards,Maschiff [Reverse Holo] #62,$0.12
Prices for Pokemon Paldean Fates Pokemon Cards,Mabosstiff [Reverse Holo] #63,$0.21
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student [Reverse Holo] #86,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Professor's Research [Reverse Holo] #88,$0.25
Prices for Pokemon Paldean Fates Pokemon Cards,International Tin: Great Tusk Ex,$41.00
Prices for Pokemon Paldean Fates Pokemon Cards,Whimsicott #35,$0.11
Prices for Pokemon Paldean Fates Pokemon Cards,Lechonk [Reverse Holo] #71,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Scrafty [Reverse Holo] #61,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Artazon #76,$0.24
Prices for Pokemon Paldean Fates Pokemon Cards,Toedscool #4,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Camerupt [Reverse Holo] #12,$0.34
Prices for Pokemon Paldean Fates Pokemon Cards,Natu #25,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Mime Jr [Reverse Holo] #31,$0.38
Prices for Pokemon Paldean Fates Pokemon Cards,Cottonee #34,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Barboach [Reverse Holo] #50,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Nest Ball [Reverse Holo] #84,$1.21
Prices for Pokemon Paldean Fates Pokemon Cards,International Tin: Iron Treads Ex,$70.00
Prices for Pokemon Paldean Fates Pokemon Cards,Numel [Reverse Holo] #11,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Chinchou [Reverse Holo] #20,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Kilowattrel [Reverse Holo] #22,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Ralts #27,$0.18
Prices for Pokemon Paldean Fates Pokemon Cards,Chimecho [Reverse Holo] #30,$0.15
